GEO,GEOID2,est_pop
1500000US060014001001,60014001001,2991
1500000US060014002001,60014002001,1102
1500000US060014002002,60014002002,895
1500000US060014003001,60014003001,1336
1500000US060014003002,60014003002,1369
1500000US060014003003,60014003003,1041
1500000US060014003004,60014003004,1377
1500000US060014004001,60014004001,1510
1500000US060014004002,60014004002,1071
1500000US060014004003,60014004003,1410
1500000US060014005001,60014005001,2570
1500000US060014005002,60014005002,753
1500000US060014005003,60014005003,621
1500000US060014006001,60014006001,980
1500000US060014006002,60014006002,655
1500000US060014007001,60014007001,1050
1500000US060014007002,60014007002,1699
1500000US060014007003,60014007003,1057
1500000US060014007004,60014007004,1031
1500000US060014008001,60014008001,1611
1500000US060014008002,60014008002,1029
1500000US060014008003,60014008003,1156
1500000US060014009001,60014009001,1319
1500000US060014009002,60014009002,1075
1500000US060014010001,60014010001,1514
1500000US060014010002,60014010002,1067
1500000US060014010003,60014010003,1528
1500000US060014010004,60014010004,610
1500000US060014010005,60014010005,698
1500000US060014010006,60014010006,830
1500000US060014011001,60014011001,515
1500000US060014011002,60014011002,1301
1500000US060014011003,60014011003,1136
1500000US060014011004,60014011004,1253
1500000US060014012001,60014012001,1140
1500000US060014012002,60014012002,882
1500000US060014012003,60014012003,579
1500000US060014013001,60014013001,1233
1500000US060014013002,60014013002,1734
1500000US060014013003,60014013003,1087
1500000US060014014001,60014014001,1137
1500000US060014014002,60014014002,1647
1500000US060014014003,60014014003,1229
1500000US060014015001,60014015001,1163
1500000US060014015002,60014015002,814
1500000US060014015003,60014015003,661
1500000US060014016001,60014016001,1004
1500000US060014016002,60014016002,1094
1500000US060014017001,60014017001,776
1500000US060014017002,60014017002,1910
1500000US060014017003,60014017003,83
1500000US060014018001,60014018001,1090
1500000US060014018002,60014018002,838
1500000US060014022001,60014022001,1083
1500000US060014022002,60014022002,1007
1500000US060014022003,60014022003,467
1500000US060014024001,60014024001,1635
1500000US060014024002,60014024002,1185
1500000US060014025001,60014025001,927
1500000US060014025002,60014025002,843
1500000US060014026001,60014026001,1241
1500000US060014027001,60014027001,741
1500000US060014027002,60014027002,1085
1500000US060014028001,60014028001,1649
1500000US060014028002,60014028002,2606
1500000US060014029001,60014029001,1417
1500000US060014030001,60014030001,1577
1500000US060014030002,60014030002,1674
1500000US060014031001,60014031001,1830
1500000US060014033001,60014033001,2250
1500000US060014033002,60014033002,2493
1500000US060014034001,60014034001,1044
1500000US060014034002,60014034002,1117
1500000US060014034003,60014034003,900
1500000US060014034004,60014034004,1340
1500000US060014035011,60014035011,2043
