GEO,GEOID2,MMHI,error
1500000US060014001001,60014001001,208393,46352
1500000US060014002001,60014002001,169167,35602
1500000US060014002002,60014002002,119722,45188
1500000US060014003001,60014003001,142569,65521
1500000US060014003002,60014003002,85673,40482
1500000US060014003003,60014003003,-,**
1500000US060014003004,60014003004,93833,42626
1500000US060014004001,60014004001,103654,25677
1500000US060014004002,60014004002,86389,28581
1500000US060014004003,60014004003,112500,33419
1500000US060014005001,60014005001,100568,10911
1500000US060014005002,60014005002,74702,30368
1500000US060014005003,60014005003,80804,31128
1500000US060014006001,60014006001,77857,36272
1500000US060014006002,60014006002,106094,33910
1500000US060014007001,60014007001,64306,16309
1500000US060014007002,60014007002,48403,27987
1500000US060014007003,60014007003,73056,46946
1500000US060014007004,60014007004,40875,33839
1500000US060014008001,60014008001,65481,25927
1500000US060014008002,60014008002,66806,21351
1500000US060014008003,60014008003,59539,21545
1500000US060014009001,60014009001,51111,7951
1500000US060014009002,60014009002,85833,28874
1500000US060014010001,60014010001,-,**
1500000US060014010002,60014010002,62218,17482
1500000US060014010003,60014010003,77625,33835
1500000US060014010004,60014010004,82054,60965
1500000US060014010005,60014010005,-,**
1500000US060014010006,60014010006,-,**
1500000US060014011001,60014011001,111652,59444
1500000US060014011002,60014011002,68482,17396
1500000US060014011003,60014011003,75167,41306
1500000US060014011004,60014011004,89688,39562
1500000US060014012001,60014012001,91250,35600
1500000US060014012002,60014012002,123875,58037
1500000US060014012003,60014012003,58750,31358
1500000US060014013001,60014013001,50313,21278
1500000US060014013002,60014013002,29375,6585
1500000US060014013003,60014013003,70833,18621
1500000US060014014001,60014014001,23266,10465
1500000US060014014002,60014014002,32917,17715
1500000US060014014003,60014014003,31392,7457
1500000US060014015001,60014015001,-,**
1500000US060014015002,60014015002,76875,26750
1500000US060014015003,60014015003,58036,22189
1500000US060014016001,60014016001,43654,9989
1500000US060014016002,60014016002,46250,17026
1500000US060014017001,60014017001,102135,46938
1500000US060014017002,60014017002,80125,34313
1500000US060014017003,60014017003,-,**
1500000US060014018001,60014018001,73088,13459
1500000US060014018002,60014018002,19940,5658
1500000US060014022001,60014022001,45306,11863
1500000US060014022002,60014022002,35673,10888
1500000US060014022003,60014022003,70000,32745
1500000US060014024001,60014024001,49417,21122
1500000US060014024002,60014024002,24583,16563
1500000US060014025001,60014025001,34135,5250
1500000US060014025002,60014025002,14766,5971
1500000US060014026001,60014026001,21250,5748
1500000US060014027001,60014027001,55250,14385
1500000US060014027002,60014027002,76000,33802
1500000US060014028001,60014028001,14663,4371
1500000US060014028002,60014028002,49194,18713
1500000US060014029001,60014029001,26786,6844
1500000US060014030001,60014030001,26971,5503
1500000US060014030002,60014030002,18143,4489
1500000US060014031001,60014031001,72813,29062
1500000US060014033001,60014033001,89301,10568
1500000US060014033002,60014033002,20899,10420
1500000US060014034001,60014034001,102143,39057
1500000US060014034002,60014034002,48110,6367
1500000US060014034003,60014034003,47000,33317
1500000US060014034004,60014034004,54464,15195
1500000US060014035011,60014035011,23381,6257
1500000US060014035012,60014035012,56933,8280
1500000US060014035013,60014035013,41944,19123
1500000US060014035021,60014035021,62902,17322
1500000US060014035022,60014035022,64583,14662
1500000US060014036001,60014036001,58902,14309
1500000US060014036002,60014036002,84235,23282
1500000US060014036003,60014036003,78859,15014
1500000US060014037011,60014037011,68306,5144
1500000US060014037012,60014037012,73074,8054
1500000US060014037021,60014037021,90875,42604
1500000US060014037022,60014037022,81736,17043
1500000US060014038001,60014038001,168906,31624
1500000US060014038002,60014038002,84028,21766
1500000US060014038003,60014038003,71078,16074
1500000US060014038004,60014038004,84893,15835
1500000US060014039001,60014039001,92528,13788
1500000US060014039002,60014039002,85660,45970
1500000US060014039003,60014039003,73750,23619
1500000US060014040001,60014040001,78917,7507
1500000US060014040002,60014040002,80903,14008
1500000US060014041011,60014041011,101375,18517
1500000US060014041012,60014041012,91759,27833
1500000US060014041021,60014041021,91726,22342
1500000US060014041022,60014041022,73633,10250
1500000US060014042001,60014042001,192563,65859
1500000US060014042002,60014042002,194271,42391
1500000US060014042003,60014042003,91417,54237
1500000US060014043001,60014043001,220257,23085
1500000US060014043002,60014043002,178750,60712
1500000US060014043003,60014043003,165313,53801
1500000US060014044001,60014044001,127339,53955
1500000US060014044002,60014044002,163750,44794
1500000US060014044003,60014044003,195862,43629
1500000US060014045011,60014045011,185313,9347
1500000US060014045021,60014045021,128750,11630
1500000US060014045022,60014045022,155833,31405
1500000US060014045023,60014045023,161087,54943
1500000US060014045024,60014045024,153817,39434
1500000US060014046001,60014046001,186250,24028
1500000US060014046002,60014046002,165966,13675
1500000US060014046003,60014046003,141630,17031
1500000US060014046004,60014046004,157656,36262
1500000US060014047001,60014047001,165357,32721
1500000US060014047002,60014047002,158988,12346
1500000US060014048001,60014048001,74688,18361
1500000US060014048002,60014048002,65938,25174
1500000US060014049001,60014049001,121111,44868
1500000US060014049002,60014049002,41333,29868
1500000US060014049003,60014049003,81406,47136
1500000US060014049004,60014049004,127454,25082
1500000US060014050001,60014050001,129948,28743
1500000US060014050002,60014050002,150521,44215
1500000US060014050003,60014050003,112344,36388
1500000US060014051001,60014051001,195848,57360
1500000US060014051002,60014051002,172292,150633
1500000US060014051003,60014051003,"250,000+",***
1500000US060014051004,60014051004,169250,44096
1500000US060014051005,60014051005,169844,33203
1500000US060014052001,60014052001,61184,16367
1500000US060014052002,60014052002,44653,29980
1500000US060014052003,60014052003,89781,33507
1500000US060014052004,60014052004,88379,18585
1500000US060014053011,60014053011,60996,10449
1500000US060014053012,60014053012,64505,4919
1500000US060014053021,60014053021,43850,9140
1500000US060014053022,60014053022,35524,11908
1500000US060014054011,60014054011,49118,9203
1500000US060014054012,60014054012,35278,12751
1500000US060014054013,60014054013,48462,12791
1500000US060014054021,60014054021,34565,10367
1500000US060014054022,60014054022,47880,9891
1500000US060014055001,60014055001,50870,12410
1500000US060014055002,60014055002,55081,9435
1500000US060014055003,60014055003,27171,26642
1500000US060014055004,60014055004,91103,19141
1500000US060014056001,60014056001,54750,21968
1500000US060014056002,60014056002,109063,21670
1500000US060014056003,60014056003,44663,11926
1500000US060014057001,60014057001,46250,12660
1500000US060014057002,60014057002,54815,18272
1500000US060014057003,60014057003,45865,12241
1500000US060014058001,60014058001,-,**
1500000US060014058002,60014058002,50536,29706
1500000US060014058003,60014058003,35950,8252
1500000US060014058004,60014058004,35536,32599
1500000US060014059011,60014059011,33456,16779
1500000US060014059012,60014059012,50887,28027
1500000US060014059013,60014059013,40078,14051
1500000US060014059021,60014059021,32105,12580
1500000US060014059022,60014059022,39000,16974
1500000US060014060001,60014060001,56875,21637
1500000US060014060002,60014060002,-,**
1500000US060014060003,60014060003,26422,10633
1500000US060014061001,60014061001,24408,12869
1500000US060014061002,60014061002,-,**
1500000US060014061003,60014061003,85764,40035
1500000US060014061004,60014061004,41190,10836
1500000US060014062011,60014062011,36903,6354
1500000US060014062012,60014062012,49250,38525
1500000US060014062013,60014062013,39219,13780
1500000US060014062014,60014062014,46218,2930
1500000US060014062021,60014062021,43214,14733
1500000US060014062022,60014062022,33350,10211
1500000US060014062023,60014062023,33750,15701
1500000US060014063001,60014063001,31620,15147
1500000US060014063002,60014063002,40286,20049
1500000US060014063003,60014063003,48405,8467
1500000US060014063004,60014063004,55179,43782
1500000US060014064001,60014064001,97333,30188
1500000US060014064002,60014064002,57019,21925
1500000US060014065001,60014065001,43047,12442
1500000US060014065002,60014065002,54946,29019
1500000US060014065003,60014065003,36023,12617
1500000US060014065004,60014065004,37560,20870
1500000US060014066011,60014066011,46290,19219
1500000US060014066012,60014066012,45909,9820
1500000US060014066013,60014066013,51250,14002
1500000US060014066014,60014066014,-,**
1500000US060014066021,60014066021,64732,6651
1500000US060014066022,60014066022,40625,9524
1500000US060014067001,60014067001,136688,25214
1500000US060014067002,60014067002,162188,39913
1500000US060014067003,60014067003,62300,31009
1500000US060014067004,60014067004,115065,69402
1500000US060014067005,60014067005,88083,25680
1500000US060014068001,60014068001,146157,26007
1500000US060014068002,60014068002,113188,41287
1500000US060014068003,60014068003,80227,34389
1500000US060014068004,60014068004,51146,46914
1500000US060014069001,60014069001,132635,8665
1500000US060014069002,60014069002,124350,37100
1500000US060014069003,60014069003,55263,15813
1500000US060014070001,60014070001,52033,14273
1500000US060014070002,60014070002,71513,4065
1500000US060014070003,60014070003,53667,32819
1500000US060014070004,60014070004,45625,16098
1500000US060014070005,60014070005,-,**
1500000US060014071011,60014071011,51179,13302
1500000US060014071012,60014071012,58478,20943
1500000US060014071021,60014071021,49948,14319
1500000US060014071022,60014071022,48409,35086
1500000US060014071023,60014071023,58897,25430
1500000US060014071024,60014071024,50833,12631
